Day,Month,Year,Hour,Minute,Second,LON,LAT,DISTANCE_KM,SIGNAL,MULTIPLICITY,AXIS,ECCENTRICITY,ELLIPSE,CHISQR
3,7,2020,13,18,29.056167,-111.004,39.727,137.3795,-20.0,0,0,0,42,0
3,7,2020,13,18,29.09705,-111.005,39.727,137.3328,-20.0,0,0,0,35,0
3,7,2020,13,18,29.09705,-111.005,39.727,137.3328,-20.0,0,0,0,35,0
3,7,2020,13,18,48.671977,-111.593,38.541,247.7829,-9.0,0,0,0,84,0
3,7,2020,13,18,48.671977,-111.593,38.541,247.7829,-9.0,0,0,0,84,0
3,7,2020,13,18,48.686695,-111.602,38.543,247.4835,-9.0,0,0,0,63,0
3,7,2020,13,18,48.686695,-111.602,38.543,247.4835,-9.0,0,0,0,63,0
3,7,2020,13,18,48.716467,-111.589,38.566,245.0583,-10.0,0,0,0,86,0
3,7,2020,13,18,48.716467,-111.589,38.566,245.0583,-10.0,0,0,0,86,0
3,7,2020,13,18,48.744499,-111.589,38.548,247.0457,-12.0,0,0,0,107,0
3,7,2020,13,18,48.744499,-111.589,38.548,247.0457,-12.0,0,0,0,107,0
3,7,2020,13,18,48.787209,-111.616,38.552,246.3713,-12.0,0,0,0,58,0
3,7,2020,13,18,48.787209,-111.616,38.552,246.3713,-12.0,0,0,0,58,0
3,7,2020,13,18,48.910153,-111.617,38.552,246.3631,-10.0,0,0,0,86,0
3,7,2020,13,18,48.910153,-111.617,38.552,246.3631,-10.0,0,0,0,86,0
3,7,2020,13,19,19.68716,-111.008,39.725,137.3793,-18.0,0,0,0,61,0
3,7,2020,13,19,19.68716,-111.008,39.725,137.3793,-18.0,0,0,0,61,0
3,7,2020,13,19,19.743876,-111.009,39.724,137.4261,-10.0,0,0,0,79,0
3,7,2020,13,19,19.743876,-111.009,39.724,137.4261,-10.0,0,0,0,79,0
3,7,2020,13,19,19.775032,-111.008,39.74,135.9835,-9.0,0,0,0,52,0
3,7,2020,13,19,19.775032,-111.008,39.74,135.9835,-9.0,0,0,0,52,0
3,7,2020,13,19,19.814572,-111.008,39.739,136.0763,-17.0,0,0,0,56,0
3,7,2020,13,19,19.814572,-111.008,39.739,136.0763,-17.0,0,0,0,56,0
3,7,2020,13,39,2.536494,-110.954,39.771,135.7629,-72.0,0,0,0,60,0
3,7,2020,13,39,2.536494,-110.954,39.771,135.7629,-72.0,0,0,0,60,0
3,7,2020,13,39,2.549309,-110.967,39.775,134.7544,-14.0,0,0,0,21,0
3,7,2020,13,39,2.549309,-110.967,39.775,134.7544,-14.0,0,0,0,21,0
3,7,2020,14,16,40.251883,-111.679,38.746,224.4394,-43.0,0,0,0,-120,0
3,7,2020,14,16,40.251883,-111.679,38.746,224.4394,-43.0,0,0,0,-120,0
3,7,2020,14,18,14.060753,-110.709,40.182,119.072,-26.0,0,0,0,31,0
